"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"44"|"RT @DailyMail: Hillary tries to paint Trump as friend of the KKK in new advert https://t.co/ILVdMhiMoF"|FALSE|0|NA|2016-08-25 18:25:44|FALSE|NA|"768877032436400128"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"Thatbeardthough"|3|TRUE|FALSE|NA|NA
"45"|"@Realjmannarino totally agree. It's more a semantical problem and Trump needs pragmatism to reach his goal : stop the illegal immigration !"|FALSE|0|"Realjmannarino"|2016-08-25 18:25:44|FALSE|"768856084928983040"|"768877032289730564"|"46302096"|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"semper_valoris"|0|FALSE|FALSE|NA|NA
"46"|"RT @Mike_USPatriot: Trump was never going to Win vs Hillary &amp; Media knew this. Thats why they gave him 10x the coverage of other GOPers
@Fi…"|FALSE|0|NA|2016-08-25 18:25:44|FALSE|NA|"768877032193208320"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"BullyUzi"|2|TRUE|FALSE|NA|NA
"47"|"@Bakari_Sellers &amp; #Clinton supporters LABEL #Trump Supporters #Racist 
I label them #Prejudice Un #American #BULLIES https://t.co/Pbd3tJ6W3y"|FALSE|0|"Bakari_Sellers"|2016-08-25 18:25:44|FALSE|NA|"768877031962644485"|"241201438"|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"WomenWantTrump"|0|FALSE|FALSE|NA|NA
"48"|"RT @h1llary4prez: #AltRightMeans this gem https://t.co/EJuu2Luz83 https://t.co/rRCG16AXnQ"|FALSE|0|NA|2016-08-25 18:25:44|FALSE|NA|"768877031513743360"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"MicheleRedding2"|16|TRUE|FALSE|NA|NA
"49"|"RT @kylegriffin1: Excerpt of Clinton's alt-right speech just released, says Trump is \"taking hate groups mainstream.\" https://t.co/4cpIiTNe…"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877031446700032"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"olikolokolo"|13|TRUE|FALSE|NA|NA
"50"|"RT @kylegriffin1: Excerpt of Clinton's alt-right speech just released, says Trump is \"taking hate groups mainstream.\" https://t.co/4cpIiTNe…"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877031115354114"|NA|"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>"|"KevDGrussing"|13|TRUE|FALSE|NA|NA
"51"|"RT @politico: Poll: 62 percent of Republicans want @realDonaldTrump's tax returns https://t.co/mi9YVKmYCx | AP Photo https://t.co/1L6e0mjAHA"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877031069061120"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"1099rock"|160|TRUE|FALSE|NA|NA
"52"|"Clinton Leads Trump by 10 Points in New Poll of Likely Voters https://t.co/YzPiT0Lo2t"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877030901424128"|NA|"<a href=\"http://linkis.com\" rel=\"nofollow\">Turn sharing into growth!</a>"|"IPOmaven"|0|FALSE|FALSE|NA|NA
"53"|"Pew: 6-in-10 oppose Donald Trump's proposal to build border wall - https://t.co/LHm1tznf1A https://t.co/htUnohnT7S"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877030880403456"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"UniteBlueCA"|0|FALSE|FALSE|NA|NA
"54"|"lol Trump's New Ad Is Just For Black Voters  - CONAN on TBS https://t.co/807o1uTIZl via @YouTube by @ConanOBrien @TeamCoco"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877030817591296"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"rrameg"|0|FALSE|FALSE|NA|NA
"55"|"RT @gina_marieeee: \"Before Trump puts the wall up we should go to Mexico &amp; get a weed plant\" #guesswhofrom1502"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877030725255168"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"gina_marieeee"|1|TRUE|FALSE|NA|NA
"56"|"Trump supporters don't know what a hedge fun is apparently from the few late claps https://t.co/Uwa6Xk8lIO"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877030465155072"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"lawrenceantnhoy"|0|FALSE|FALSE|NA|NA
"57"|"RT @BretBaier: Trump campaign in MN: finalizing Minnesota ballot issues today -- \"Mr. Trump WILL appear on the November ballot.\"  Aug 29th…"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877030461022208"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"patriotschip"|44|TRUE|FALSE|NA|NA
"58"|"RT @DavidCornDC: Jeez, how can any journo/pundit talk about Trump's supposed \"minority outreach\" without referring to his birtherism. #Unit…"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877030389739520"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"CamelotK"|140|TRUE|FALSE|NA|NA
"59"|"RT @ViktorFiel: We need to stop making excuses for Trump

When he fucks up we have to call him out for it

He needs to clarify https://t.co…"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877030079205376"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"DNkanga"|4|TRUE|FALSE|NA|NA
"60"|"When you don't know what to say or do Donald Trump like his wife copy someone else....so sad!"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877030045839360"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"lyndathreat"|0|FALSE|FALSE|NA|NA
"61"|"RT @PoliticsNewsGM: VENGEANCE FOR TRUMP! Lyin Ted Just Learned What Happens When You Mess With the Donald https://t.co/9HVCA4qxHf https://t…"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877030037344256"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"TheCoffeeHeaven"|2|TRUE|FALSE|NA|NA
"62"|"RT @RonNehring: 8. Cruz warned Trump would betray his own supporters. Silly \"Muslim ban\" evolved into Cruz policy on refugees. Now wall--&gt;a…"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877029894742016"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"army1man1"|82|TRUE|FALSE|NA|NA
